,title,text,BERT,TextRank,Rake,TFIDF
0,1914. Русские войска вступили в пределы Венгрии  ,"Бои у Сопоцкина и Друскеник закончились отступлением германцев. Неприятель, приблизившись с севера к Осовцу начал артиллерийскую борьбу с крепостью. В артиллерийском бою принимают участие тяжелые калибры. С раннего утра 14 сентября огонь достиг значительного напряжения. Попытка германской пехоты пробиться ближе к крепости отражена. В Галиции мы заняли Дембицу. Большая колонна, отступавшая по шоссе от Перемышля к Саноку, обстреливалась с высот нашей батареей и бежала, бросив парки, обоз и автомобили. Вылазки гарнизона Перемышля остаются безуспешными. При продолжающемся отступлении австрийцев обнаруживается полное перемешивание их частей, захватываются новые партии пленных, орудия и прочая материальная часть. На перевале Ужок мы разбили неприятельский отряд, взяли его артиллерию и много пленных и, продолжая преследовать, вступили в пределы Венгрии. 
«Русский инвалид», 16 сентября 1914 года.","Бои у Сопоцкина и Друскеник закончились отступлением германцев. При продолжающемся отступлении австрийцев обнаруживается полное перемешивание их частей, захватываются новые партии пленных, орудия и прочая материальная часть.","Вылазки гарнизона Перемышля остаются безуспешными.
«Русский инвалид», 16 сентября 1914 года.","['заняли дембицу', 'захватываются новые партии пленных', 'отступавшая', 'разбили неприятельский отряд', '« русский инвалид », 16 сентября 1914 года', 'артиллерию', 'обстреливалась', 'продолжая преследовать', 'перемышля', 'шоссе', 'вступили', 'крепости отражена', 'обоз', 'бои', 'осовцу начал артиллерийскую борьбу', 'прочая материальная часть', 'вылазки гарнизона перемышля остаются безуспешными', 'артиллерийском бою принимают участие тяжелые калибры', 'приблизившись', 'высот нашей батареей', 'частей', 'саноку', 'взяли', 'друскеник закончились отступлением германцев', 'большая колонна', 'попытка германской пехоты пробиться ближе', 'перевале ужок', 'галиции', 'пределы венгрии', 'бросив парки', 'орудия', 'сопоцкина', 'продолжающемся отступлении австрийцев обнаруживается полное перемешивание', 'севера', 'бежала', 'крепостью', 'автомобили', 'раннего утра 14 сентября огонь достиг значительного напряжения', 'неприятель', 'пленных']","                          names  Word_Count    TF_IDF
0                            мы           2  0.426401
7                     перемышля           2  0.426401
8                       пленных           2  0.426401
9                      сентября           2  0.426401
1         партии пленных орудия           1  0.213201
2  партии пленных орудия прочая           1  0.213201
3                      перевале           1  0.213201
4                 перевале ужок           1  0.213201
5              перевале ужок мы           1  0.213201
6      перевале ужок мы разбили           1  0.213201"
1,1914. Празднование столетия М.Ю. Лермонтова отложено ,"Министерство народного просвещения, в виду происходящих чрезвычайных событий, признало соответственным в день годовщины со дня рождения М.Ю. Лермонтова (2-го октября 1914 года) ограничиться совершением в учебных заведениях панихиды по поэту, отложив празднование юбилея до более благоприятного времени.  
«Русский инвалид», 16 сентября 1914 года.","Министерство народного просвещения, в виду происходящих чрезвычайных событий, признало соответственным в день годовщины со дня рождения М.Ю. Лермонтова (2-го октября 1914 года) ограничиться совершением в учебных заведениях панихиды по поэту, отложив празднование юбилея до более благоприятного времени.",,"['отложив празднование юбилея', 'признало соответственным', 'благоприятного времени', 'министерство народного просвещения', 'лермонтова', '« русский инвалид », 16 сентября 1914 года', 'дня рождения м', 'го октября 1914 года', 'ограничиться совершением', 'поэту', 'день годовщины', 'учебных заведениях панихиды', 'ю', '2', 'виду происходящих чрезвычайных событий']","                                     names  Word_Count    TF_IDF
1                                     1914           2  0.458831
2                                1914 года           2  0.458831
3                                     года           2  0.458831
0                                       16           1  0.229416
4                                 признало           1  0.229416
5                 признало соответственным           1  0.229416
6            признало соответственным день           1  0.229416
7  признало соответственным день годовщины           1  0.229416
8                             происходящих           1  0.229416
9                происходящих чрезвычайных           1  0.229416"
2,1914. Das ist Nesteroff!,"Штабс-капитан П. Н. Нестеров на днях, увидев в районе Желтиева, в Галиции, летящий над нашим расположением австрийский аэроплан, собиравшийся бросить бомбы, взлетел на воздух, атаковал неприятеля и протаранил неприятельский аппарат, предотвратив жертвы в наших войсках. Сам Нестеров при этом погиб смертью героя. По словам доставленных в Киев пленных австрийских офицеров, всей неприятельской армии хорошо известно имя Нестерова. Во время воздушных разведок русских авиаторов австрийцы всегда безошибочно определяли, каким аппаратом управлял Нестеров. Когда показывался аэроплан-птица, красиво и вольно паривший в воздухе, австрийцы указывали — Das ist Nesteroff! Австрийцы боялись покойного, и все их усилия были направлены к прекращению его деятельности. За задержание отважного летчика была объявлена большая премия. Нестеров погиб в 27 лет. После Нестерова остались жена и двое детей — девочка, 5-ти лет, и мальчик, 3-х лет. Иллюстрированный журнал «Искры» № 35, сентябрь 1914 года  Песнь о Нестерове В безбрежности неба, в бескрайности ясной пустыниСражались лишь птицы и гибли лишь птицы доныне.Так птице подобный, полет свой направив могучий,Унесся пилот легкокрылый за темные тучи.А там, на земле, колыхаясь, знамена шумели, И лязгали сабли, и пушки зловеще гремели.И пламенно богу войны посылал он молитвы,И очи горели и звали и жаждали битвы…Величие духа в равнине обманчиво-зыбкой.Презрение смерти под светлою солнца улыбкой…Мольбы не напрасны. Велению рока послушный,Противник уж реет кругами в стихии воздушнойИ дрогнуло сердце. Рука, как пружина стальная,На руль налегла. Встрепенулась машина живая…Чти, родина, память героя! Решенье созрелоМгновенье – и врезался дерзко он в хрупкое тело.Пощады не знает стихия. Победа наградой…И пали противники грузной и страшной громадой…В безбрежности неба, в бескрайности ясной пустыниСражались лишь птицы и гибли лишь птицы доныне. Журнал «Нива» №37, сентябрь 1914 года","Штабс-капитан П. Н. Нестеров на днях, увидев в районе Желтиева, в Галиции, летящий над нашим расположением австрийский аэроплан, собиравшийся бросить бомбы, взлетел на воздух, атаковал неприятеля и протаранил неприятельский аппарат, предотвратив жертвы в наших войсках. По словам доставленных в Киев пленных австрийских офицеров, всей неприятельской армии хорошо известно имя Нестерова. Когда показывался аэроплан-птица, красиво и вольно паривший в воздухе, австрийцы указывали — Das ist Nesteroff! Презрение смерти под светлою солнца улыбкой…Мольбы не напрасны.","Сам Нестеров при этом погиб смертью героя.
Нестеров погиб в 27 лет.
Иллюстрированный журнал «Искры» № 35, сентябрь 1914 года  Песнь о Нестерове В безбрежности неба, в бескрайности ясной пустыниСражались лишь птицы и гибли лишь птицы доныне.Так птице подобный, полет свой направив могучий,Унесся пилот легкокрылый за темные тучи.А там, на земле, колыхаясь, знамена шумели, И лязгали сабли, и пушки зловеще гремели.И пламенно богу войны посылал он молитвы,И очи горели и звали и жаждали битвы…Величие духа в равнине обманчиво-зыбкой.Презрение смерти под светлою солнца улыбкой…Мольбы не напрасны.","['время воздушных разведок русских авиаторов австрийцы', 'всей неприятельской армии', 'унесся пилот легкокрылый', 'районе желтиева', 'журнал « нива » № 37', 'встрепенулась машина живая … чти', 'жаждали битвы … величие духа', 'сентябрь 1914 года', 'пламенно богу войны посылал', 'полет свой направив могучий', 'взлетел', 'красиво', 'хрупкое тело', 'двое детей — девочка', 'безбрежности неба', 'земле', 'бескрайности ясной пустынисражались лишь птицы', 'нестеров', 'усилия', 'погиб смертью героя', 'киев пленных австрийских офицеров', 'нестерове', 'капитан п', 'решенье созреломгновенье –', 'рука', 'память героя', 'австрийцы указывали — das ist nesteroff', '27 лет', 'известно имя нестерова', 'направлены', 'руль налегла', 'задержание отважного летчика', 'галиции', 'знает стихия', 'увидев', 'реет кругами', 'знамена шумели', 'звали', 'наших войсках', 'вольно паривший', 'гибли лишь птицы доныне', 'презрение смерти', 'напрасны', 'прекращению', 'птица', 'воздух', 'каким аппаратом управлял нестеров', 'пружина стальная', 'пали противники грузной', 'штабс', 'велению рока послушный', 'равнине обманчиво', 'безошибочно определяли', 'противник', 'родина', 'иллюстрированный журнал « искры » № 35', 'воздухе', '3', 'предотвратив жертвы', '5', 'очи горели', 'темные тучи', 'днях', 'птице подобный', 'победа наградой …', 'нестеров погиб', 'атаковал неприятеля', 'мальчик', 'нестерова остались жена', 'показывался аэроплан', 'лязгали сабли', 'словам доставленных', 'х лет', 'светлою солнца улыбкой … мольбы', 'стихии воздушнойи дрогнуло сердце', 'страшной громадой …', 'летящий', 'протаранил неприятельский аппарат', 'собиравшийся бросить бомбы', 'объявлена большая премия', 'австрийцы боялись покойного', 'зыбкой', 'ти лет', 'врезался дерзко', 'колыхаясь', 'нашим расположением австрийский аэроплан', 'деятельности', 'н', 'сентябрь 1914 года песнь', 'пощады', 'пушки зловеще гремели', 'молитвы']","              names  Word_Count    TF_IDF
4              лишь           4  0.381385
5        лишь птицы           4  0.381385
7                на           4  0.381385
8          нестеров           4  0.381385
9             птицы           4  0.381385
0         австрийцы           3  0.286039
3               лет           3  0.286039
1            журнал           2  0.190693
2                за           2  0.190693
6  лишь птицы гибли           2  0.190693"
3,1914. Бульдог-гонец под Льежем ,"Фотограф-корреспондент Daily Mirror рассказывает случай, который порадует всех друзей животных. Лейтенант бельгийской артиллерии, руководивший обороной одного из фортов Льежа, ни за что не хотел расстаться с своей собакой — бульдогом. Когда пруссаки пробрались между фортов в самый город, офицеру пришло в голову доверить бульдогу письмо, в котором он посылал успокоительную весть своим родителям. Благородный пес честно исполнил свою миссию. Десять часов спустя бульдог проник обратно в форт и принес ответ. С этого момента бульдог стал настоящим гонцом. Много раз пробирался он через линии германских войск, неся на себе спрятанными в ошейнике шифрованные депеши.
Журнал «Нива» №37, сентябрь 1914 года","Фотограф-корреспондент Daily Mirror рассказывает случай, который порадует всех друзей животных.","Лейтенант бельгийской артиллерии, руководивший обороной одного из фортов Льежа, ни за что не хотел расстаться с своей собакой — бульдогом.","['хотел расстаться', 'голову доверить бульдогу письмо', 'пруссаки пробрались', 'друзей животных', 'пробирался', 'ошейнике шифрованные депеши', 'фотограф', 'десять часов спустя бульдог проник обратно', 'журнал « нива » № 37', 'который порадует', 'форт', 'миссию', 'сентябрь 1914 года', 'своей собакой — бульдогом', 'неся', 'линии германских войск', 'благородный пес честно исполнил', 'фортов', 'котором', 'лейтенант бельгийской артиллерии', 'принес ответ', 'посылал успокоительную весть своим родителям', 'момента бульдог стал настоящим гонцом', 'офицеру пришло', 'руководивший обороной одного', 'спрятанными', 'корреспондент daily mirror рассказывает случай', 'фортов льежа', 'самый город']","                           names  Word_Count    TF_IDF
1                        бульдог           2  0.458831
2                             он           2  0.458831
9                         фортов           2  0.458831
0                           1914           1  0.229416
3        пробрались между фортов           1  0.229416
4  пробрались между фортов самый           1  0.229416
5                         проник           1  0.229416
6                 проник обратно           1  0.229416
7            проник обратно форт           1  0.229416
8     проник обратно форт принес           1  0.229416"
4,1914. Под Люблином пойман швабский зверь,"Лица, приехавшие в Варшаву из Люблина, передают, что туда доставлен «швабский зверь» — взятый в плен прусский майор Прейскер, бывший комендант Калиша. Это — здоровый детина, с типично прусским наглым лицом и мутными глазами. Когда этого «зверя» вели с партией пленных по улице и из толпы раздались крики и проклятия, Прейскер трусливо замешался в толпу пленных, стараясь скрыться. Зато в заключении, под конвоем наших солдат, Прейскер принял пришедшего к нему русского офицера сидя, нагло развалившись в кресле. Конвойные «помогли» ему подняться и вытянуться во фронт. Кроме Прейскера, нашими войсками взят в плен и другой «швабский зверь» — капитан Шмидт, живьем сжигавший жителей деревень, запирая их в хатах. Журнал «Нива» №38 от 20 сентября 1914 года","Лица, приехавшие в Варшаву из Люблина, передают, что туда доставлен «швабский зверь» — взятый в плен прусский майор Прейскер, бывший комендант Калиша. Зато в заключении, под конвоем наших солдат, Прейскер принял пришедшего к нему русского офицера сидя, нагло развалившись в кресле.","Лица, приехавшие в Варшаву из Люблина, передают, что туда доставлен «швабский зверь» — взятый в плен прусский майор Прейскер, бывший комендант Калиша.","['типично прусским наглым лицом', 'живьем сжигавший жителей деревень', 'заключении', 'улице', 'конвойные « помогли »', 'прейскер принял пришедшего', 'мутными глазами', '20 сентября 1914 года', 'толпу пленных', 'стараясь скрыться', 'нашими войсками взят', 'приехавшие', 'подняться', 'это — здоровый детина', 'прейскер трусливо замешался', 'варшаву', 'нагло развалившись', 'лица', 'люблина', 'журнал « нива » № 38', 'проклятия', 'кроме прейскера', 'зато', 'хатах', 'конвоем наших солдат', '« зверя » вели', 'партией пленных', 'бывший комендант калиша', 'фронт', 'вытянуться', 'запирая', 'туда доставлен « швабский зверь » — взятый', '« швабский зверь » — капитан шмидт', 'кресле', 'нему русского офицера сидя', 'толпы раздались крики', 'плен', 'плен прусский майор прейскер', 'передают']","                             names  Word_Count    TF_IDF
4                         прейскер           3  0.500000
0                            зверь           2  0.333333
1                               из           2  0.333333
2                             плен           2  0.333333
3                          пленных           2  0.333333
8                         швабский           2  0.333333
9                   швабский зверь           2  0.333333
5                  прейскер принял           1  0.166667
6       прейскер принял пришедшего           1  0.166667
7  прейскер принял пришедшего нему           1  0.166667"
5,"Космонавты сомневаются в надежности ""Мира""","Как стало известно агентству Ассошиэйтед Пресс, экипаж последней экспедиции на станцию ""Мир"" считает ее способной выйти из-под контроля.Командир Виктор Афанасьев сказал: ""Мы чувствуем себя хорошо, но грустим, что оставили станцию летать в беспилотном режиме."" Gazeta Ru подробно писала о том, что финансирование программы ""Мир"" закрыто, но конструкторы не спешат топить ее в Тихом океане, надеясь на изыскание внебюджетных средств.Они надеются, что правительство оплатит финальную экспедицию на ""Мир"" в феврале или марте 2000 года. Новая экспедиция должна постепенно перевести станцию на низкую орбиту, после чего 140- тонный ""Мир"" в основном сгорит в атмосфере, а незначительные его части упадут в Тихий океан. Но нет никакой гарантии, что пережившая столько отказов оборудования конструкция поведет себя адекватно командам. Афанасьев перечислил потенциально опасные элементы ""Мира"" на пресс- конференции, состоявшейся в понедельник в Звездном Городке. ""Может упасть давление в кабине,- сказал он,- и это станет серьезным препятствием для работы следующей экспедиции. Слишком велика роль ""человеческого фактора"" , элементарная ошибка может привести как к потере топлива, так и к потере ориентации."" Американское космическое агентство по аэронавтике и космическому пространству предлагало России затопить ""Мир"", а его ресурсы перевести на международную космическую станцию. Но Россия не хочет расставаться с легендарным символом.","Как стало известно агентству Ассошиэйтед Пресс, экипаж последней экспедиции на станцию ""Мир"" считает ее способной выйти из-под контроля. Новая экспедиция должна постепенно перевести станцию на низкую орбиту, после чего 140- тонный ""Мир"" в основном сгорит в атмосфере, а незначительные его части упадут в Тихий океан. Афанасьев перечислил потенциально опасные элементы ""Мира"" на пресс- конференции, состоявшейся в понедельник в Звездном Городке. ""","Как стало известно агентству Ассошиэйтед Пресс, экипаж последней экспедиции на станцию ""Мир"" считает ее способной выйти из-под контроля.Командир Виктор Афанасьев сказал: ""Мы чувствуем себя хорошо, но грустим, что оставили станцию летать в беспилотном режиме."" Gazeta Ru подробно писала о том, что финансирование программы ""Мир"" закрыто, но конструкторы не спешат топить ее в Тихом океане, надеясь на изыскание внебюджетных средств.Они надеются, что правительство оплатит финальную экспедицию на ""Мир"" в феврале или марте 2000 года.","['потере топлива', 'упасть давление', 'международную космическую станцию', 'беспилотном режиме .""', 'атмосфере', 'части упадут', 'привести', 'надеясь', 'командир виктор афанасьев сказал', 'конференции', 'состоявшейся', 'тихий океан', 'считает', 'конструкторы', 'экипаж последней экспедиции', 'чувствуем', 'элементарная ошибка', 'афанасьев перечислил потенциально опасные элементы', 'оставили станцию летать', 'способной выйти', 'закрыто', 'американское космическое агентство', '140', ',-', 'работы следующей экспедиции', 'человеческого фактора', 'финансирование программы', 'грустим', 'мир "",', 'кабине ,- сказал', 'мир', 'основном сгорит', 'незначительные', 'понедельник', 'марте 2000 года', 'слишком велика роль', 'изыскание внебюджетных средств', 'gazeta ru подробно писала', 'адекватно командам', 'надеются', 'потере ориентации .""', 'мира', 'спешат топить', 'феврале', 'новая экспедиция должна постепенно перевести станцию', 'легендарным символом', 'тихом океане', 'звездном городке', 'ресурсы перевести', 'низкую орбиту', 'аэронавтике', 'стало известно агентству ассошиэйтед пресс', 'это станет серьезным препятствием', 'станцию', 'россия', 'никакой гарантии', 'космическому пространству предлагало россии затопить', 'контроля', 'пережившая столько отказов оборудования конструкция поведет', 'правительство оплатит финальную экспедицию', 'пресс', 'тонный', 'хочет расставаться']","     names  Word_Count    TF_IDF
2       на           6  0.528271
1      мир           5  0.440225
4       но           4  0.352180
8  станцию           4  0.352180
9      что           4  0.352180
0      как           2  0.176090
3       не           2  0.176090
5   потере           2  0.176090
6    пресс           2  0.176090
7   сказал           2  0.176090"
6,Взрыв в центре Москвы: пострадало 30 человек,"В зале игровых автоматов в третьем ярусе подземного комплекса ""Охотный ряд"" на Манежной площади в центре Москвы около 20.00 прогремел мощный взрыв. По данным ФСБ, погибли не менее четырех человек, 20 человек ранены. Однако уточненная оценка числа пострадавших в результате этого взрыва может достигнуть ста человек. Агентство ИТАР-ТАСС, в сообщении от 21.15 со ссылкой на источники в ГУВД Москвы, говорит только о 30 раненых, в том числе о двух пострадавших в тяжелом состоянии. Однако число пострадавших в результате этого взрыва может составить до ста человек. По данным РИА ""Новости"", Боткинская больница, Институт им. Склифосовского, 1-ая Градская, 36-ая и 64-ая горбольница работают только на прием пострадавших. С места происшествия запросили 20 машин скорой помощи. Из торгового центра эвакуированы все посетитетели. Среди причин происшедшего называют террористический акт, связанный с последними событиями в Дагестане, однако, по сообщению ОРТ, не исключается и версия об аварии (взорвался игровой автомат). Более точных данных о причнах взрыва и количестве жертв представители УФСБ называть не торопятся.","В зале игровых автоматов в третьем ярусе подземного комплекса ""Охотный ряд"" на Манежной площади в центре Москвы около 20.00 прогремел мощный взрыв. Агентство ИТАР-ТАСС, в сообщении от 21.15 со ссылкой на источники в ГУВД Москвы, говорит только о 30 раненых, в том числе о двух пострадавших в тяжелом состоянии.","Однако уточненная оценка числа пострадавших в результате этого взрыва может достигнуть ста человек.
Однако число пострадавших в результате этого взрыва может составить до ста человек.","['погибли', 'данным риа', 'торгового центра эвакуированы', 'третьем ярусе подземного комплекса', 'достигнуть ста человек', 'прием пострадавших', 'агентство итар', 'числе', 'говорит', 'исключается', 'институт', 'торопятся', 'тяжелом состоянии', 'аварии', '20 человек ранены', 'однако уточненная оценка числа пострадавших', 'тасс', 'гувд москвы', 'манежной площади', 'однако число пострадавших', '30 раненых', 'результате', 'сообщении', 'взрыва', '00 прогремел мощный взрыв', '1', 'ая градская', 'ая горбольница работают', '21', 'ая', 'посетитетели', 'новости "", боткинская больница', 'связанный', '36', 'причнах взрыва', 'источники', 'дагестане', 'взорвался игровой автомат ).', 'зале игровых автоматов', 'последними событиями', 'места происшествия запросили 20 машин скорой помощи', 'склифосовского', '15', 'среди причин происшедшего называют террористический акт', 'ссылкой', 'охотный ряд', 'точных данных', 'составить', '64', 'менее четырех человек', 'количестве жертв представители уфсб называть', 'ста человек', 'сообщению орт', 'версия', 'данным фсб', 'центре москвы около 20', 'однако', 'двух пострадавших']","          names  Word_Count    TF_IDF
7  пострадавших           4  0.402015
9       человек           4  0.402015
0            20           3  0.301511
1            ая           3  0.301511
2        взрыва           3  0.301511
3            на           3  0.301511
4            не           3  0.301511
5        однако           3  0.301511
6            по           3  0.301511
8    результате           2  0.201008"
7,Япония кредитует Россию на полтора миллиарда долларов,"Япония приняла решение разморозить кредиты России на сумму в полтора миллиарда долларов. Об этом заявил сегодня после встречи с премьер-министром Японии вице-премьер правительства России Виктор Христенко. Он прибыл в Токио во главе делегации для участия в заседании  российско-японской межправительственной комиссии по торгово-экономическим  вопросам, которое  начнется в  среду  в Токио. Один из участников подготовки этого заседания сообщил ""Интерфаксу"", что Христенко постарается на конкретных макроэкономических показателях  за последние  месяцы доказать, что экономика России становится более стабильной и убедить Японию в своей платежеспособности и партнерской надежности. ""Если на заседании  комиссии японская сторона будет удовлетворена этими данными, то многие российско-японские проекты по улучшению  экономики дальневосточного побережья, примут более реальные очертания"", - подчеркнул источник. Сегодняшнее сообщение о разморозке кредита показывает, что приведенные Христенко выкладки оказались убедительными для японцев. В  отношении   Японии  еще   со  времен СССР  осталаськоммерческая задолженность  японским фирмам,  общий объем которой составляет около $1,1 миллиардов. Основная задолженность перед крупными фирмами, объединившимися  в Токийский клуб, составляет около $925 миллионов. Общий же объем внешнего долга России в настоящее время  составляет около $150 миллиардов, и платежи по его обслуживанию в соответствии  с графиком  должны были  бы составить  около  90% доходов федерального бюджета.","Япония приняла решение разморозить кредиты России на сумму в полтора миллиарда долларов. В  отношении   Японии  еще   со  времен СССР  осталаськоммерческая задолженность  японским фирмам,  общий объем которой составляет около $1,1 миллиардов.","В  отношении   Японии  еще   со  времен СССР  осталаськоммерческая задолженность  японским фирмам,  общий объем которой составляет около $1,1 миллиардов.","['настоящее время составляет около', 'премьер правительства россии виктор христенко', 'которое начнется', 'торгово', 'японцев', 'отношении японии', 'соответствии', 'составляет около', 'многие российско', 'примут', 'заседании российско', 'премьер', 'заявил сегодня', 'полтора миллиарда долларов', 'составить около 90', 'доходов федерального бюджета', 'конкретных макроэкономических показателях', 'основная задолженность', 'встречи', 'япония приняла решение разморозить кредиты россии', 'реальные очертания "",', 'стабильной', 'объем внешнего долга россии', 'времен ссср осталаськоммерческая задолженность японским фирмам', 'экономика россии становится', 'своей платежеспособности', 'платежи', 'токийский клуб', '1', '925 миллионов', 'улучшению экономики дальневосточного побережья', 'объединившимися', 'партнерской надежности', 'христенко постарается', 'подчеркнул источник', 'крупными фирмами', 'японской межправительственной комиссии', 'обслуживанию', 'экономическим вопросам', 'участия', 'убедить японию', 'удовлетворена этими данными', 'приведенные христенко выкладки оказались убедительными', 'графиком должны', 'сегодняшнее сообщение', '1 миллиардов', 'интерфаксу "",', 'общий', 'прибыл', 'участников подготовки', 'разморозке кредита показывает', 'министром японии вице', 'заседании комиссии японская сторона', 'японские проекты', 'среду', 'заседания сообщил', 'общий объем которой составляет около', 'главе делегации', 'сумму', 'токио', 'последние месяцы доказать', '150 миллиардов']","              names  Word_Count    TF_IDF
2             около           4  0.412568
4            россии           4  0.412568
1                на           3  0.309426
3                по           3  0.309426
6        составляет           3  0.309426
7  составляет около           3  0.309426
8         христенко           3  0.309426
9               что           3  0.309426
0     задолженность           2  0.206284
5         российско           2  0.206284"
8,Британцы отмечают двухлетие смерти Дианы,"Британцы отмечают сегодня скорбную дату - вторуюгодовщину со дня смерти принцессы Дианы. Она погибла вавтомобильной катастрофе в парижском туннеле в ранние утренниечасы 31 августа 1997 года. С утра к золоченым воротамКенсингтонского дворца, где жила Диана, приходят ее поклонники.В чугунные завитки ограды вплетаются сотни букетов. Людиоставляют дары принцессе - коробки конфет, плюшевых мишек,открытки со посвященными ей стихами, стенгазеты. Вчера и сегодня болееТысячи англичан подписали петицию с требованием к властямускорить сооружение мемориала принцессе. Пока Мемориальныйкомитет собирается переоборудовать в ее честь детскую игровуюплощадку, которая находится на территории Кенсингтонского паркаи создать посвященную ей ""прогулочную дорожку"" вдоль похоронного маршрута. Мемориальный фонд имени принцессы Дианы собрал в видепожертвований населения более 85 миллонов фунтов (140 миллионов долларов).Средичленов правления фонда нет согласия относительно использованиясредств. Они заняты не столько помощью больным иобделенным, как завещала принцесса, сколько в основном судебнойсхваткой за авторские права на ее, Дианы, изображения. Королевская семья отметит траурную годовщину сдержаннойпоминальной церемонией в шотландском замке Балморал, где будутприсутствовать сыновья Дианы - 17-летний Вильям и 14-летнийГарри, их отец принц Чарльз. Родственники Дианы соберутсяотдельно в Олторпе, поместье ее брата графа Чарльза Спенсера. Впоместье создан мемориальный музей Дианы, который в этом годупосетило 142 тысячи человек. Ожидается, что в ближайшие дни будут оглашеныокончательные результаты расследования аварии в Париже.Британские газеты уже получили этот документ. Никаких сенсацийтам нет. Единственная причина катастрофы - опьянение водителя ипревышение скорости, пришли к заключению французскиеследователи. Содержание алкоголя в крови водителя лимузина Генри Пола в три раза превосходило норму- 1,8 грамма на литр. Фиат ""Уно"", якобы послуживший причиной трагедии, так и не найден- в Париже таких автомобилей более сорока тысяч. Не будет предъявлено никаких обвиненийфотографам-папарацци, преследовавшим ""Мерседес"" Дианы на мотоциклах. Письма Дианы к бывшему любовнику,майору Джеймсу Хьюитту, могут быть вскоре опубликованы отдельной книгой. Хьюитт нарушил клятву никогда не использовать для печати 65 писем принцессы, написанных ею после того, как ее брак с принцем Чарльзом развалился. В письмах королевская семья характеризуется весьма нелицеприятно.","Британцы отмечают сегодня скорбную дату - вторуюгодовщину со дня смерти принцессы Дианы. Людиоставляют дары принцессе - коробки конфет, плюшевых мишек,открытки со посвященными ей стихами, стенгазеты. Ожидается, что в ближайшие дни будут оглашеныокончательные результаты расследования аварии в Париже. Единственная причина катастрофы - опьянение водителя ипревышение скорости, пришли к заключению французскиеследователи.","Британцы отмечают сегодня скорбную дату - вторуюгодовщину со дня смерти принцессы Дианы.
Мемориальный фонд имени принцессы Дианы собрал в видепожертвований населения более 85 миллонов фунтов (140 миллионов долларов).Средичленов правления фонда нет согласия относительно использованиясредств.
Королевская семья отметит траурную годовщину сдержаннойпоминальной церемонией в шотландском замке Балморал, где будутприсутствовать сыновья Дианы - 17-летний Вильям и 14-летнийГарри, их отец принц Чарльз.
Не будет предъявлено никаких обвиненийфотографам-папарацци, преследовавшим ""Мерседес"" Дианы на мотоциклах.","['сегодня болеетысячи англичан подписали петицию', 'властямускорить сооружение мемориала принцессе', 'бывшему любовнику', 'крови водителя лимузина генри пола', 'майору джеймсу хьюитту', 'брата графа чарльза спенсера', 'людиоставляют дары принцессе', 'принцем чарльзом развалился', 'фиат', 'родственники дианы соберутсяотдельно', 'посвященными', '1', 'дианы', 'печати 65 писем принцессы', 'ближайшие дни будут оглашеныокончательные результаты расследования аварии', 'погибла вавтомобильной катастрофе', 'папарацци', '140 миллионов долларов ). средичленов правления фонда', 'британцы отмечают сегодня скорбную дату', 'завещала принцесса', 'пока мемориальныйкомитет собирается переоборудовать', 'ранние утренниечасы 31 августа 1997 года', 'париже', 'чугунные завитки ограды вплетаются сотни букетов', 'пришли', 'утра', 'использовать', 'вчера', 'столько помощью больным иобделенным', 'ожидается', 'предъявлено никаких обвиненийфотографам', 'никаких сенсацийтам', 'видепожертвований населения', 'летний вильям', 'прогулочную дорожку', 'дня смерти принцессы дианы', 'сколько', 'впоместье создан мемориальный музей дианы', '17', 'открытки', 'королевская семья отметит траурную годовщину сдержаннойпоминальной церемонией', 'приходят', 'честь детскую игровуюплощадку', 'содержание алкоголя', 'плюшевых мишек', 'стенгазеты', 'парижском туннеле', 'согласия относительно использованиясредств', 'брак', 'найден', 'мемориальный фонд имени принцессы дианы собрал', 'вскоре опубликованы отдельной книгой', 'территории кенсингтонского паркаи создать посвященную', 'основном судебнойсхваткой', 'будутприсутствовать сыновья дианы', 'коробки конфет', 'шотландском замке балморал', 'который', 'письма дианы', 'авторские права', '8 грамма', 'стихами', 'которая находится', 'отец принц чарльз', 'требованием', 'вторуюгодовщину', 'поместье', 'письмах королевская семья характеризуется весьма нелицеприятно', 'изображения', 'написанных ею', 'заключению французскиеследователи', '14', 'летнийгарри', 'уно "", якобы послуживший причиной трагедии', 'британские газеты', 'мотоциклах', 'могут', 'преследовавшим', 'олторпе', 'годупосетило 142 тысячи человек', 'париже таких автомобилей', 'единственная причина катастрофы', 'получили', 'жила диана', 'поклонники', 'документ', 'мерседес', 'раза превосходило норму', 'хьюитт нарушил клятву', 'сорока тысяч', 'литр', 'золоченым воротамкенсингтонского дворца', 'опьянение водителя ипревышение скорости', 'заняты', '85 миллонов фунтов', 'вдоль похоронного маршрута']","             names  Word_Count    TF_IDF
2            дианы           8  0.653197
3               ее           5  0.408248
5               на           4  0.326599
6               не           4  0.326599
7        принцессы           3  0.244949
0         водителя           2  0.163299
1              где           2  0.163299
4              как           2  0.163299
8  принцессы дианы           2  0.163299
9            семья           2  0.163299"
